name,identification,email,phone,title,isbn,year_release,author,loan_date,return_date,status
Mtro. Jacinto Granados,89359014,equinones@hotmail.com,369.107.1573,Ad quo perspiciatis veritatis,978-0-13-079650-9,2018,Úrsula Juan Carlos Méndez,2025-07-26,2025-08-10,returned
Josefina Madrid Aponte,87040564,villamayte@corral-mercado.org,04758291663,Nemo pariatur,978-0-609-15622-3,2016,Sr(a). Gabriela Leal,2025-06-28,2025-07-29,overdue
Jacobo Wendolin Perea Barrera,76146336,mirelesvanesa@hotmail.com,03165090636,Animi et facilis dolorem,978-1-75600-708-6,2008,Amelia Cano Bañuelos,2025-07-12,2025-07-15,overdue
Tomás Montalvo,81026102,asuncion28@yahoo.com,03360092856,Sapiente unde quod praesentium,978-1-84859-314-5,2015,Inés Elisa Fuentes,2025-06-29,2025-08-19,overdue
Genaro Zeferino Villarreal Solorio,72450903,ana98@gmail.com,209.771.0103x65103,Vitae temporibus sapiente,978-1-260-81269-5,2009,Irene Berta Riojas Peres,2025-06-28,2025-07-18,returned
Zacarías Figueroa de la Rosa,48063426,geronimoesparza@hotmail.com,511-580-4619,Placeat cumque ullam dolorem alias,978-1-4354-7268-6,2021,Ing. Amador Ceja,2025-07-10,2025-08-01,overdue
Ángel Mónica Gollum Magaña,70093891,delia47@despacho.com,1-085-931-8659x6288,Optio labore dolorum repellendus quasi,978-0-657-67092-4,1998,Citlali Esparta Monroy,2025-07-15,2025-07-31,returned
Aldonza Bustos Almonte,14372319,amador45@yahoo.com,1-084-625-3776x9354,Necessitatibus repellat sed,978-1-371-30136-1,2002,Mtro. Karina Cabán,2025-06-22,2025-06-24,checked out
Rosalia Montalvo Vaca,61159934,pedrohernadez@corporacin.biz,043.368.2932,Atque ullam sed necessitatibus eveniet,978-0-02-908732-9,2009,Teresa Sánchez,2025-08-03,2025-08-08,checked out
Miriam Padrón Marín,62119888,gaitanhomero@hotmail.com,(907)581-6502x9428,Voluptatum explicabo tempore,978-0-585-64307-6,2018,Javier Heredia Pantoja,2025-07-12,2025-07-26,returned
René Berríos Benavides,32790080,eloisa19@huerta-pabon.com,499.464.2156x78405,Inventore totam illum dolorum et,978-1-81895-224-8,1998,Leonel María Eugenia Ceballos Cabán,2025-07-10,2025-08-12,returned
Lic. Antonio Pizarro,35031275,renato81@proyectos.com,00265321440,Esse accusantium assumenda vitae,978-1-77672-912-8,1999,Violeta Silvia Amaya,2025-06-11,2025-06-15,overdue
Sr(a). Maximiliano Sierra,56423370,hzavala@lira.com,580-550-7013,Magnam repellat,978-1-147-19413-5,2001,Minerva Armendáriz Mejía,2025-06-21,2025-08-21,overdue
Helena Micaela Alvarado,30047530,earchuleta@balderas-mata.net,1-610-190-9341x06156,Modi beatae,978-1-968004-87-3,1996,Sr(a). José María Fuentes,2025-06-08,2025-08-12,checked out
Ofelia Uriel Cintrón,87137312,ariasvioleta@orellana.com,462-378-9439,Debitis nemo delectus reprehenderit omnis,978-0-08-642690-1,2009,Isabela Julia Solano Baca,2025-06-07,2025-07-06,overdue
Augusto Mariano Lovato Puga,62641259,brocha@gomez-munguia.com,481.499.6848x457,Hic ut dolore adipisci,978-1-4223-3839-1,2012,Sr(a). Enrique Lozano,2025-06-22,2025-07-28,overdue
Sr(a). Mayte Cotto,42940187,saucedoporfirio@hotmail.com,1-224-540-3580x69553,Similique tempora,978-1-345-50010-3,2015,Rebeca Cristina Leyva,2025-06-21,2025-08-19,checked out
Ivonne Alejandra Altamirano Malave,43628021,karina66@gmail.com,667-048-0976,Exercitationem quasi laborum similique,978-0-513-31097-1,2019,Gabriel Llamas,2025-06-22,2025-07-24,returned
Lic. Ilse Dueñas,77291774,rufino53@grupo.biz,(103)057-0664x2304,Dolores minus,978-0-8409-5935-5,2002,Camilo Valle,2025-06-22,2025-07-05,overdue
Jorge Barreto Zavala,73557456,qgranado@saenz-pulido.info,(344)968-2365,Qui accusamus tempora,978-0-209-82075-3,2001,Olga Arcelia Guajardo,2025-08-04,2025-08-19,checked out
Ignacio Daniela Paredes,72167547,zbarrera@hotmail.com,676.925.8123x3168,Necessitatibus atque architecto maiores,978-1-60223-341-6,2018,Raquel Gonzales Acosta,2025-07-27,2025-08-21,overdue
Renato Jos Díaz Cervántez,95114137,preciadosantiago@gmail.com,1-288-740-1448x676,Eius quod sint,978-0-531-17189-9,2010,Irma Burgos,2025-08-03,2025-08-22,overdue
